target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2014-09,2014-09-29,0.1316994938,
2014-09,2014-09-30,0.131699,
2014-09,2014-10-01,0.131699,
2014-09,2014-10-02,0.1316994938,
2014-09,2014-10-03,0.1316994938,
2014-09,2014-10-06,0.1316994938,
2014-09,2014-10-07,0.1316994938,
2014-09,2014-10-08,0.1316994938,
2014-09,2014-10-09,0.1316994938,
2014-09,2014-10-10,0.1316994938,
2014-09,2014-10-14,0.1316994938,
2014-09,2014-10-15,0.1316994938,
2014-09,2014-10-16,0.1316994938,
2014-09,2014-10-17,0.1316994938,
2014-10,2014-10-01,0.140686,
2014-10,2014-10-02,0.089467,
2014-10,2014-10-03,0.082275,
2014-10,2014-10-06,0.0654946097,
2014-10,2014-10-07,0.170290023,
2014-10,2014-10-08,0.170290023,
2014-10,2014-10-09,0.170290023,
2014-10,2014-10-10,0.170290023,
2014-10,2014-10-14,0.170290023,
2014-10,2014-10-15,0.105729643,
2014-10,2014-10-16,0.105729643,
2014-10,2014-10-17,0.105729643,
2014-10,2014-10-20,0.105729643,
2014-10,2014-10-21,0.042603938,
2014-10,2014-10-22,0.0410382974,
2014-10,2014-10-23,0.041038,
2014-10,2014-10-24,0.0410382974,
2014-10,2014-10-27,-0.0124043252,
2014-10,2014-10-28,-0.0124043252,
2014-10,2014-10-29,-0.0124043252,
2014-10,2014-10-30,-0.0124043252,
2014-10,2014-10-31,-0.012404,
2014-10,2014-11-03,-0.012404,
2014-10,2014-11-04,-0.012404,
2014-10,2014-11-05,-0.012404,
2014-10,2014-11-06,-0.012404,
2014-10,2014-11-07,-0.0124043252,
2014-10,2014-11-10,-0.012404,
2014-10,2014-11-12,-0.012404,
2014-10,2014-11-13,-0.012404,
2014-10,2014-11-14,-0.012404,
2014-10,2014-11-17,-0.012404,
2014-11,2014-11-03,0.08244,
2014-11,2014-11-04,-0.0193232751,
2014-11,2014-11-05,-0.019323,
2014-11,2014-11-06,-0.019323,
2014-11,2014-11-07,-0.019323,
2014-11,2014-11-10,-0.019323,
2014-11,2014-11-12,-0.0579616792,
2014-11,2014-11-13,-0.057962,
2014-11,2014-11-14,-0.057962,
2014-11,2014-11-17,-0.057962,
2014-11,2014-11-18,-0.094123,
2014-11,2014-11-19,-0.094123,
2014-11,2014-11-20,-0.098481,
2014-11,2014-11-21,-0.098481,
2014-11,2014-11-24,-0.098481,
2014-11,2014-11-25,-0.143693,
2014-11,2014-11-26,-0.143693,
2014-11,2014-11-28,-0.143693,
2014-11,2014-12-01,-0.143693,
2014-11,2014-12-02,-0.143693,
2014-11,2014-12-03,-0.143693,
2014-11,2014-12-04,-0.143693,
2014-11,2014-12-05,-0.143693,
2014-11,2014-12-08,-0.143693,
2014-11,2014-12-09,-0.143693,
2014-11,2014-12-10,-0.143693,
2014-11,2014-12-11,-0.143693,
2014-11,2014-12-12,-0.143693,
2014-12,2014-12-01,-0.213639,
2014-12,2014-12-02,-0.001364,
2014-12,2014-12-03,-0.001364,
2014-12,2014-12-04,-0.001364,
2014-12,2014-12-05,-0.001364,
2014-12,2014-12-08,-0.001364,
2014-12,2014-12-09,-0.080964,
2014-12,2014-12-10,-0.080964,
2014-12,2014-12-11,-0.080964,
2014-12,2014-12-12,-0.080964,
2014-12,2014-12-15,-0.080964,
2014-12,2014-12-16,-0.175336,
2014-12,2014-12-17,-0.18689,
2014-12,2014-12-18,-0.18689,
2014-12,2014-12-19,-0.18689,
2014-12,2014-12-22,-0.295725,
2014-12,2014-12-23,-0.295725,
2014-12,2014-12-24,-0.295725,
2014-12,2014-12-26,-0.395588,
2014-12,2014-12-29,-0.395588,
2014-12,2014-12-30,-0.395588,
2014-12,2014-12-31,-0.395588,
2014-12,2015-01-02,-0.395588,
2014-12,2015-01-05,-0.395588,
2014-12,2015-01-06,-0.395588,
2014-12,2015-01-07,-0.395588,
2014-12,2015-01-08,-0.395588,
2014-12,2015-01-09,-0.395588,
2014-12,2015-01-12,-0.395588,
2014-12,2015-01-13,-0.395588,
2015-01,2015-01-02,-0.297676,
2015-01,2015-01-05,-0.297676,
2015-01,2015-01-06,-0.565556,
2015-01,2015-01-07,-0.565556,
2015-01,2015-01-08,-0.565556,
2015-01,2015-01-09,-0.565556,
2015-01,2015-01-12,-0.565556,
2015-01,2015-01-13,-0.637436,
2015-01,2015-01-14,-0.637436,
2015-01,2015-01-15,-0.637436,
2015-01,2015-01-16,-0.590938,
2015-01,2015-01-20,-0.657465,
2015-01,2015-01-21,-0.657465,
2015-01,2015-01-22,-0.657465,
2015-01,2015-01-23,-0.657465,
2015-01,2015-01-26,-0.701326,
2015-01,2015-01-27,-0.701326,
2015-01,2015-01-28,-0.701326,
2015-01,2015-01-29,-0.701326,
2015-01,2015-01-30,-0.701326,
2015-01,2015-02-02,-0.701326,
2015-01,2015-02-03,-0.701326,
2015-01,2015-02-04,-0.701326,
2015-01,2015-02-05,-0.701326,
2015-01,2015-02-06,-0.701326,
2015-01,2015-02-09,-0.701326,
2015-01,2015-02-10,-0.701326,
2015-01,2015-02-11,-0.701326,
2015-01,2015-02-12,-0.701326,
2015-01,2015-02-13,-0.701326,
2015-01,2015-02-17,-0.701326,
2015-01,2015-02-18,-0.686287,
2015-01,2015-02-19,-0.686287,
2015-01,2015-02-20,-0.686287,
2015-01,2015-02-23,-0.686287,
2015-02,2015-02-02,-0.027088,
2015-02,2015-02-03,-0.107227,
2015-02,2015-02-04,-0.107227,
2015-02,2015-02-05,-0.107227,
2015-02,2015-02-06,-0.107227,
2015-02,2015-02-09,0.021249,
2015-02,2015-02-10,0.021249,
2015-02,2015-02-11,0.021249,
2015-02,2015-02-12,0.021249,
2015-02,2015-02-13,0.021249,
2015-02,2015-02-17,0.121643,
2015-02,2015-02-18,0.121643,
2015-02,2015-02-19,0.135847,
2015-02,2015-02-20,0.135847,
2015-02,2015-02-23,0.215593,
2015-02,2015-02-24,0.215593,
2015-02,2015-02-25,0.216519,
2015-02,2015-02-26,0.216519,
2015-02,2015-02-27,0.216519,
2015-02,2015-03-02,0.216519,
2015-02,2015-03-03,0.216519,
2015-02,2015-03-04,0.216519,
2015-02,2015-03-05,0.216519,
2015-02,2015-03-06,0.216519,
2015-02,2015-03-09,0.216519,
2015-02,2015-03-10,0.216519,
2015-02,2015-03-11,0.216519,
2015-02,2015-03-12,0.216519,
2015-02,2015-03-13,0.216519,
2015-02,2015-03-16,0.216519,
2015-02,2015-03-17,0.216519,
2015-02,2015-03-18,0.216519,
2015-03,2015-03-02,0.101441,
2015-03,2015-03-03,0.373202,
2015-03,2015-03-04,0.373202,
2015-03,2015-03-05,0.373202,
2015-03,2015-03-06,0.373202,
